time|rssi|gwlat|gwlon|nodelat|nodelon|eui|id
2021-07-14T11:38:31.665079Z|-114|32.1312|-7.40094|31.828744|-7.32296|0840383045839032|gateway1|
2021-07-14T11:38:32.010273Z|-61|31.828452|-7.323349|31.828744|-7.32296|0938403287238409|gateway2|
2021-07-14T11:40:31.666308Z|-110|32.1312|-7.40094|31.828734|-7.322708|0840383045839032|gateway1|
2021-07-14T11:40:32.010543Z|-65|31.828452|-7.323349|31.828734|-7.322708|0938403287238409|gateway2|
2021-07-14T11:41:31.676801Z|-110|32.1312|-7.40094|31.828651|-7.322811|0840383045839032|gateway1|
2021-07-14T11:42:32.006014Z|-69|31.828452|-7.323349|31.828745|-7.32288|0938403287238409|gateway2|
2021-07-14T11:43:31.662502Z|-115|32.1312|-7.40094|31.82876|-7.322914|0840383045839032|gateway1|
2021-07-14T11:44:32.016343Z|-68|31.828452|-7.323349|31.828774|-7.323031|0938403287238409|gateway2|
2021-07-14T11:45:32.005935Z|-69|31.828452|-7.323349|31.82873|-7.323072|0938403287238409|gateway2|
2021-07-14T11:47:31.691935Z|-109|32.1312|-7.40094|31.828745|-7.322803|0840383045839032|gateway1|
2021-07-14T11:47:32.033965Z|-67|31.828452|-7.323349|31.828745|-7.322803|0938403287238409|gateway2|
2021-07-14T11:48:31.661889Z|-110|32.1312|-7.40094|31.828763|-7.32296|0840383045839032|gateway1|
2021-07-14T11:48:32.003972Z|-71|31.828452|-7.323349|31.828763|-7.32296|0938403287238409|gateway2|
2021-07-14T11:49:31.662405Z|-115|32.1312|-7.40094|31.828751|-7.322962|0840383045839032|gateway1|
2021-07-14T11:49:32.003957Z|-71|31.828452|-7.323349|31.828751|-7.322962|0938403287238409|gateway2|
2021-07-14T11:51:32.006599Z|-66|31.828452|-7.323349|31.828731|-7.322945|0938403287238409|gateway2|
2021-07-14T11:52:31.662953Z|-112|32.1312|-7.40094|31.828719|-7.322872|0840383045839032|gateway1|
2021-07-14T11:52:32.002911Z|-67|31.828452|-7.323349|31.828719|-7.322872|0938403287238409|gateway2|
2021-07-14T11:53:31.662971Z|-111|32.1312|-7.40094|31.828743|-7.322921|0840383045839032|gateway1|
2021-07-14T11:53:32.002820Z|-68|31.828452|-7.323349|31.828743|-7.322921|0938403287238409|gateway2|
2021-07-14T11:54:31.662654Z|-111|32.1312|-7.40094|31.828763|-7.322925|0840383045839032|gateway1|
2021-07-14T11:54:32.001405Z|-67|31.828452|-7.323349|31.828763|-7.322925|0938403287238409|gateway2|
2021-07-14T11:55:31.661872Z|-111|32.1312|-7.40094|31.828788|-7.322925|0840383045839032|gateway1|
2021-07-14T11:55:32.000979Z|-65|31.828452|-7.323349|31.828788|-7.322925|0938403287238409|gateway2|
2021-07-14T11:56:32.001243Z|-67|31.828452|-7.323349|31.828724|-7.322921|0938403287238409|gateway2|
2021-07-14T11:56:31.662560Z|-112|32.1312|-7.40094|31.828724|-7.322921|0840383045839032|gateway1|
2021-07-14T12:00:31.663207Z|-111|32.1312|-7.40094|31.828716|-7.322974|0840383045839032|gateway1|
2021-07-14T12:00:31.999363Z|-69|31.828452|-7.323349|31.828716|-7.322974|0938403287238409|gateway2|
2021-07-14T12:02:31.667193Z|-115|32.1312|-7.40094|31.828728|-7.323036|0840383045839032|gateway1|
2021-07-14T12:02:32.002804Z|-69|31.828452|-7.323349|31.828728|-7.323036|0938403287238409|gateway2|
2021-07-14T12:04:31.662289Z|-113|32.1312|-7.40094|31.828819|-7.322423|0840383045839032|gateway1|
